Circ Region,Transaction Date,Patron Zip,Source,Item Age,Checkouts,Checkouts from Holds,Holds Placed,Home Library Code,Home Library Name,Media Type,Original Item Location,Original Item Branch,Original Item Region,Transaction Method,P Type,Branch Blending,Item Type,Circ Branch,Item Code,Item Definition,Central Divisions,PType Age,Checkout Path,Reading Format,Language,Summer Reading Code,Renewals,OD Renewal,Circ,Checkins,Book/Non-Book,PType Code
No Region,7/8/2026,10016,Sierra,Unknown,0,0,2,01,,Physical,Unknown,Unknown,No Region,E-Commerce,Adult,,Unknown,No Branch,Unknown,Unknown,Branches,Adult,Unknown,,English,TEMPORARILY BLANK,0,,0,0,,Adult
No Region,7/8/2026,11205,Sierra,Unknown,0,0,2,01,,Physical,Unknown,Unknown,No Region,E-Commerce,Adult,,Unknown,No Branch,Unknown,Unknown,Branches,Adult,Unknown,,English,TEMPORARILY BLANK,0,,0,0,,Adult
No Region,7/8/2026,11238,Sierra,Unknown,0,0,2,01,,Physical,Unknown,Unknown,No Region,E-Commerce,Adult,,Unknown,No Branch,Unknown,Unknown,Branches,Adult,Unknown,,English,TEMPORARILY BLANK,0,,0,0,,Adult
No Region,7/8/2026,11238,Sierra,Unknown,0,0,2,01,,Physical,Unknown,Unknown,No Region,E-Commerce,Adult,,Unknown,No Branch,Unknown,Unknown,Branches,Adult,Unknown,,English,TEMPORARILY BLANK,0,,0,0,,Adult
No Region,7/8/2026,11238,Sierra,Unknown,0,0,2,01,,Physical,Unknown,Unknown,No Region,E-Commerce,Adult,,Unknown,No Branch,Unknown,Unknown,Branches,Adult,Unknown,,English,TEMPORARILY BLANK,0,,0,0,,Adult
No Region,7/8/2026,11238,Sierra,Unknown,0,0,2,01,,Physical,Unknown,Unknown,No Region,E-Commerce,Adult,,Unknown,No Branch,Unknown,Unknown,Branches,Adult,Unknown,,English,TEMPORARILY BLANK,0,,0,0,,Adult
No Region,7/8/2026,11238,Sierra,Unknown,0,0,2,01,,Physical,Unknown,Unknown,No Region,E-Commerce,Adult,,Unknown,No Branch,Unknown,Unknown,Branches,Adult,Unknown,,English,TEMPORARILY BLANK,0,,0,0,,Adult
No Region,7/8/2026,11238,Sierra,Unknown,0,0,2,01,,Physical,Unknown,Unknown,No Region,E-Commerce,Adult,,Unknown,No Branch,Unknown,Unknown,Branches,Adult,Unknown,,English,TEMPORARILY BLANK,0,,0,0,,Adult
No Region,7/8/2026,11238,Sierra,Unknown,0,0,2,01,,Physical,Unknown,Unknown,No Region,E-Commerce,Adult,,Unknown,No Branch,Unknown,Unknown,Branches,Adult,Unknown,,English,TEMPORARILY BLANK,0,,0,0,,Adult
No Region,7/8/2026,11238,Sierra,Unknown,0,0,2,01,,Physical,Unknown,Unknown,No Region,E-Commerce,Adult,,Unknown,No Branch,Unknown,Unknown,Branches,Adult,Unknown,,English,TEMPORARILY BLANK,0,,0,0,,Adult
No Region,7/8/2026,11216,Sierra,Unknown,0,0,2,22,,Physical,Unknown,Unknown,No Region,E-Commerce,Adult,,Unknown,No Branch,Unknown,Unknown,Branches,Adult,Unknown,,English,TEMPORARILY BLANK,0,,0,0,,Adult
No Region,7/8/2026,11216,Sierra,Unknown,0,0,2,22,,Physical,Unknown,Unknown,No Region,E-Commerce,Adult,,Unknown,No Branch,Unknown,Unknown,Branches,Adult,Unknown,,English,TEMPORARILY BLANK,0,,0,0,,Adult
No Region,7/8/2026,11224,Sierra,Unknown,0,0,2,24,,Physical,Unknown,Unknown,No Region,E-Commerce,Adult,,Unknown,No Branch,Unknown,Unknown,Branches,Adult,Unknown,,English,TEMPORARILY BLANK,0,,0,0,,Adult
No Region,7/8/2026,11224,Sierra,Unknown,0,0,2,24,,Physical,Unknown,Unknown,No Region,E-Commerce,Adult,,Unknown,No Branch,Unknown,Unknown,Branches,Adult,Unknown,,English,TEMPORARILY BLANK,0,,0,0,,Adult
No Region,7/8/2026,11224,Sierra,Unknown,0,0,2,24,,Physical,Unknown,Unknown,No Region,E-Commerce,Adult,,Unknown,No Branch,Unknown,Unknown,Branches,Adult,Unknown,,English,TEMPORARILY BLANK,0,,0,0,,Adult
No Region,7/8/2026,11218,Sierra,Unknown,0,0,2,25,,Physical,Unknown,Unknown,No Region,E-Commerce,Adult,,Unknown,No Branch,Unknown,Unknown,Branches,Adult,Unknown,,English,TEMPORARILY BLANK,0,,0,0,,Adult
No Region,7/8/2026,11209,Sierra,Unknown,0,0,2,28,,Physical,Unknown,Unknown,No Region,E-Commerce,Adult,,Unknown,No Branch,Unknown,Unknown,Branches,Adult,Unknown,,English,TEMPORARILY BLANK,0,,0,0,,Adult
No Region,7/8/2026,11209,Sierra,Unknown,0,0,2,28,,Physical,Unknown,Unknown,No Region,E-Commerce,Adult,,Unknown,No Branch,Unknown,Unknown,Branches,Adult,Unknown,,English,TEMPORARILY BLANK,0,,0,0,,Adult
No Region,7/8/2026,11209,Sierra,Unknown,0,0,2,28,,Physical,Unknown,Unknown,No Region,E-Commerce,Adult,,Unknown,No Branch,Unknown,Unknown,Branches,Adult,Unknown,,English,TEMPORARILY BLANK,0,,0,0,,Adult
