Source,Language,Date,Branch,Region,Sessions,Event Name,Program Type,Public Event?,Volunteer Assisted?,Tags,Event Type,Hours,Tech?,Virtual?,Attendance,Audience Age,Older Adults?,Health and Wellness?,Business and Career?,EventSponsor,UniqueProgramID,Location,ESOL Flag (internal),School,Instructor,Comments,Group Category,Group Name,Participating Branch,Live Attendance,VideoViews,Branch blending,One on one program?,Outreach Type:,Zip code for comm health,Start time,Completion time,Program Area,Row to remove,Hybrid,High Profile,Vehicle,CHO ID,Interpretation Offered
Calendar of Events,English,7/8/2026 7:30:00 AM,East Flatbush,Flatbush,1,Meeting Room Reservation,Passive Programs,No,No,,Meeting Room,2,No,No,1,Adults,No,No,No,,835989,"East Flatbush, Meeting Room 2",No,,,,Group,East Flatbush Library Patrons,,1,0,East Flatbush,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 7:30:00 AM,East Flatbush,Flatbush,1,Meeting Room Reservation,Passive Programs,No,No,,Meeting Room,1.5,No,No,1,Adults,No,No,No,,835991,"East Flatbush, Meeting Room 2",No,,,,Group,East Flatbush Library Patrons,,1,0,East Flatbush,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 10:30:00 AM,East Flatbush,Flatbush,1,Meeting Room Reservation,Passive Programs,No,No,,Meeting Room,2,No,No,1,Adults,No,No,No,,835990,"East Flatbush, Meeting Room 1",No,,,,Group,East Flatbush Library Patrons,,1,0,East Flatbush,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 12:30:00 PM,East Flatbush,Flatbush,1,Meeting Room Reservation,Passive Programs,No,No,,Meeting Room,1,No,No,1,Adults,No,No,No,,835994,"East Flatbush, Meeting Room 2",No,,,,Group,East Flatbush Library Patrons,,1,0,East Flatbush,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 10:00:00 AM,Midwood,Kings Highway,1,Outreach:   Our Tent(Family Enrichment Center),Adult Education,No,No,,Outreach,3,No,No,6,Adults,No,No,No,,835439,Midwood Library,No,,Midwood Staff,,Community Center,Our Tent : Family Enrichment Center,,6,0,Midwood,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 7:00:00 AM,Stone Avenue,New Lots,1,Heritage Human Services Crafts and Movies,"Dance, Music, Movies, & Performance",No,No,,Program,1,No,No,10,Adults,No,No,No,,834551,Stone Avenue Library,No,,,,,,,10,0,Stone Avenue,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 7:00:00 AM,Flatlands,Flatbush,1,Storytime,Story times,Yes,Yes,"first five years, story play, storytime",Program,1,No,No,30,BirthToFiveYears,No,No,No,,814451,Flatlands Library,No,,Dayana Morales Gomez,,,,,30,0,Flatlands,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 9:00:00 AM,New Utrecht,New Utrecht,1,Free Summer Meals,Health & Wellness,Yes,Yes,"free summer meals, summer meals",Program,1,No,No,20,Kids,No,No,No,,830779,"New Utrecht, J Meeting Room",No,,Abim Ettu,,,,,20,0,New Utrecht,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 11:00:00 AM,New Utrecht,New Utrecht,1,Reading Coach,Juv & YA Education,Yes,Yes,"after school, homework help",Program,2,No,No,2,Kids,No,No,No,Volunteer Resources,833043,New Utrecht Library,No,,Tom Huang,,,,,2,0,New Utrecht,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 2:00:00 PM,"Central, Info Commons",Central,1,English Conversation Group,Adult Education,Yes,No,"adult learning, conversations, english conversation group, Immigrant Services",Program,2,No,No,8,Adults,No,No,No,Volunteer Resources,831759,"Central Library, Info Commons, Room 7",Yes,,,,,,,8,0,"Central, Info Commons","No, not a one-on-one",,,,,,,0,0,0,,
