Date,Enters,Branch,Branch for data blending,Time,Region
7/8/2026,2,Central,Central,10:00PM,Central
7/8/2026,0,Clarendon,Clarendon,10:00PM,Flatbush
7/8/2026,0,Clinton Hill,Clinton Hill,10:00PM,Park Slope
7/8/2026,0,Coney Island,Coney Island,10:00PM,New Utrecht
7/8/2026,14,Arlington,Arlington,1:00PM,New Lots
7/8/2026,28,Washington Irving,Washington Irving,1:00PM,Crown Heights
7/8/2026,7,Bedford,Bedford,10:00AM,Crown Heights
7/8/2026,2,Brower Park,Brower Park,10:00AM,Crown Heights
7/8/2026,9,Crown Heights,Crown Heights,10:00AM,Crown Heights
7/8/2026,32,Washington Irving,Washington Irving,3:00PM,Crown Heights
7/8/2026,27,Bedford,Bedford,4:00PM,Crown Heights
7/8/2026,45,Brower Park,Brower Park,4:00PM,Crown Heights
7/8/2026,31,Crown Heights,Crown Heights,4:00PM,Crown Heights
7/8/2026,22,Leonard,Leonard,4:00PM,Crown Heights
7/8/2026,29,Washington Irving,Washington Irving,4:00PM,Crown Heights
7/8/2026,44,Bedford,Bedford,5:00PM,Crown Heights
7/8/2026,43,Brower Park,Brower Park,5:00PM,Crown Heights
7/8/2026,36,Crown Heights,Crown Heights,5:00PM,Crown Heights
7/8/2026,25,Leonard,Leonard,5:00PM,Crown Heights
7/8/2026,25,Washington Irving,Washington Irving,5:00PM,Crown Heights
7/8/2026,40,Bedford,Bedford,6:00PM,Crown Heights
7/8/2026,42,Brower Park,Brower Park,6:00PM,Crown Heights
7/8/2026,40,Crown Heights,Crown Heights,6:00PM,Crown Heights
7/8/2026,27,Leonard,Leonard,6:00PM,Crown Heights
7/8/2026,16,Washington Irving,Washington Irving,6:00PM,Crown Heights
7/8/2026,2,Bedford,Bedford,7:00PM,Crown Heights
7/8/2026,3,Brower Park,Brower Park,7:00PM,Crown Heights
7/8/2026,0,Crown Heights,Crown Heights,7:00PM,Crown Heights
7/8/2026,3,Leonard,Leonard,7:00PM,Crown Heights
7/8/2026,3,Washington Irving,Washington Irving,7:00PM,Crown Heights
7/8/2026,0,Bedford,Bedford,8:00PM,Crown Heights
7/8/2026,0,Brower Park,Brower Park,8:00PM,Crown Heights
7/8/2026,0,Crown Heights,Crown Heights,8:00PM,Crown Heights
7/8/2026,3,Washington Irving,Washington Irving,8:00PM,Crown Heights
7/8/2026,0,Bedford,Bedford,9:00PM,Crown Heights
7/8/2026,0,Brower Park,Brower Park,9:00PM,Crown Heights
7/8/2026,0,Crown Heights,Crown Heights,9:00PM,Crown Heights
7/8/2026,0,Leonard,Leonard,9:00PM,Crown Heights
7/8/2026,0,Washington Irving,Washington Irving,9:00PM,Crown Heights
7/8/2026,32,Rugby,Rugby,12:00PM,Flatbush
7/8/2026,62,Flatbush,Flatbush,2:00PM,Flatbush
7/8/2026,35,Flatlands,Flatlands,2:00PM,Flatbush
7/8/2026,30,Rugby,Rugby,2:00PM,Flatbush
7/8/2026,43,East Flatbush,East Flatbush,3:00PM,Flatbush
7/8/2026,40,Flatbush,Flatbush,3:00PM,Flatbush
7/8/2026,34,Flatlands,Flatlands,3:00PM,Flatbush
7/8/2026,25,Rugby,Rugby,3:00PM,Flatbush
7/8/2026,40,Clarendon,Clarendon,4:00PM,Flatbush
7/8/2026,74,Cortelyou,Cortelyou,4:00PM,Flatbush
7/8/2026,39,Flatbush,Flatbush,4:00PM,Flatbush
7/8/2026,38,Flatlands,Flatlands,4:00PM,Flatbush
7/8/2026,39,Mill Basin,Mill Basin,4:00PM,Flatbush
7/8/2026,12,Paerdegat,Paerdegat,4:00PM,Flatbush
7/8/2026,19,Rugby,Rugby,4:00PM,Flatbush
7/8/2026,14,Clarendon,Clarendon,5:00PM,Flatbush
7/8/2026,81,Cortelyou,Cortelyou,5:00PM,Flatbush
7/8/2026,51,East Flatbush,East Flatbush,5:00PM,Flatbush
7/8/2026,36,Flatbush,Flatbush,5:00PM,Flatbush
7/8/2026,32,Flatlands,Flatlands,5:00PM,Flatbush
7/8/2026,31,Mill Basin,Mill Basin,5:00PM,Flatbush
7/8/2026,19,Paerdegat,Paerdegat,5:00PM,Flatbush
7/8/2026,35,Rugby,Rugby,5:00PM,Flatbush
7/8/2026,24,Clarendon,Clarendon,6:00PM,Flatbush
7/8/2026,97,Cortelyou,Cortelyou,6:00PM,Flatbush
7/8/2026,29,East Flatbush,East Flatbush,6:00PM,Flatbush
7/8/2026,57,Flatbush,Flatbush,6:00PM,Flatbush
